                   kdsu_name                   su_name
0                      CDLQI                     CDLQI
1                       DLQI                      DLQI
2          Date Confirmation         Date Confirmation
3               Deactivation              Dosing Diary
4               Dosing Diary                  EQ-5D-5L
5                   EQ-5D-5L                   EQ-5D-Y
6                    EQ-5D-Y             FACIT-Fatigue
7              FACIT-Fatigue                      HADS
8                       HADS  Handheld Training Module
9   Handheld Training Module     Night Time Itch Scale
10     Night Time Itch Scale                      POEM
11                      POEM                     PSAAD
12                     PSAAD         Ped FACIT-Fatigue
13         Ped FACIT-Fatigue              Pruritus NRS
14              Pruritus NRS  Pruritus NRS Eligibility
15                      PtGA                      PtGA
16               SF-36 Acute               SF-36 Acute
17    Tablet Training Module    Tablet Training Module
18                   WPAI:AD                   WPAI:AD

                  kdsu                  su
0                CDLQI               CDLQI
1                 DLQI                DLQI
2             DateConf            DateConf
3    DeactivateSubject         DosingDiary
4          DosingDiary             EQ5D5LT
5              EQ5D5LT               EQ5DY
6                EQ5DY             FACITFT
7              FACITFT                HADS
8                 HADS    HHTrainingModule
9     HHTrainingModule  Nighttimeitchscale
10  NightTimeItchScale                POEM
11                POEM           PRUNRSELG
12               PSAAD               PSAAD
13     PedFACITFatigue     PedFACITFatigue
14       PruritusNRSHH       PruritusNRSHH
15                PtGA                PtGA
16              SFA36T              SFA36T
17                 TTM                 TTM
18              WPAIAD              WPAIAD

                                kdsu-->kdig                                  su-->ig
0                             CDLQI-->CDLQI                            CDLQI-->CDLQI
1                               DLQI-->DLQI                              DLQI-->DLQI
2                       DateConf-->DateConf                      DateConf-->DateConf
3     DeactivateSubject-->DeactivateSubject                         ~~~ MISMATCH ~~~
4                 DosingDiary-->DosingDiary                DosingDiary-->DosingDiary
5                         EQ5D5LT-->EQ5D5LT                        EQ5D5LT-->EQ5D5LT
6                             EQ5DY-->EQ5DY                            EQ5DY-->EQ5DY
7                         FACITFT-->FACITFT                        FACITFT-->FACITFT
8                               HADS-->HADS                              HADS-->HADS
9       HHTrainingModule-->HHTrainingModule      HHTrainingModule-->HHTrainingModule
10  NightTimeItchScale-->Nighttimeitchscale                         ~~~ MISMATCH ~~~
11                         ~~~ MISMATCH ~~~  Nighttimeitchscale-->Nighttimeitchscale
12                              POEM-->POEM                              POEM-->POEM
13                         ~~~ MISMATCH ~~~                    PRUNRSELG-->PRUNRSELG
14                            PSAAD-->PSAAD                            PSAAD-->PSAAD
15        PedFACITFatigue-->PedFACITFatigue        PedFACITFatigue-->PedFACITFatigue
16            PruritusNRSHH-->PruritusNRSHH            PruritusNRSHH-->PruritusNRSHH
17                         ~~~ MISMATCH ~~~                               PtGA-->PGA
18                              PtGA-->PtGA                              PtGA-->PtGA
19                          SFA36T-->SFA36T                          SFA36T-->SFA36T
20                                TTM-->TTM                                TTM-->TTM
21                          WPAIAD-->WPAIAD                          WPAIAD-->WPAIAD

                                          kdig-->kdit                        ig-->it       it-->IncludeInReports
32                             DosingDiary-->DOSTIM1T         DosingDiary-->DOSTIM1T             DOSTIM1T-->True
33                                 EQ5D5LT-->HLTANX1L             EQ5D5LT-->HLTANX1L             HLTANX1L-->True
34                                 EQ5D5LT-->HLTMBL1L             EQ5D5LT-->HLTMBL1L             HLTMBL1L-->True
35                                 EQ5D5LT-->HLTPAN1L             EQ5D5LT-->HLTPAN1L             HLTPAN1L-->True
36                                 EQ5D5LT-->HLTSCR1N             EQ5D5LT-->HLTSCR1N             HLTSCR1N-->True
37                                 EQ5D5LT-->SLFCAR1L             EQ5D5LT-->SLFCAR1L             SLFCAR1L-->True
38                                 EQ5D5LT-->USLACT1L             EQ5D5LT-->USLACT1L             USLACT1L-->True
39                                    EQ5D5LT-->VST1L                EQ5D5LT-->VST1L                VST1L-->True
40                                   EQ5DY-->CARSEF1L               EQ5DY-->CARSEF1L             CARSEF1L-->True
41                                   EQ5DY-->FEEWOR1L               EQ5DY-->FEEWOR1L             FEEWOR1L-->True
42                                   EQ5DY-->HAVDIS1L               EQ5DY-->HAVDIS1L             HAVDIS1L-->True
43                                   EQ5DY-->HTHTOD1L               EQ5DY-->HTHTOD1L             HTHTOD1L-->True
44                                   EQ5DY-->MOBILI1L               EQ5DY-->MOBILI1L             MOBILI1L-->True
45                                   EQ5DY-->USLACT1L               EQ5DY-->USLACT1L             USLACT1L-->True
46                                   EQ5DY-->USUACT1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
47                                      EQ5DY-->VST1L                  EQ5DY-->VST1L                VST1L-->True
48                                 FACITFT-->ABLACT1L             FACITFT-->ABLACT1L             ABLACT1L-->True
49                                 FACITFT-->FELFAT1L             FACITFT-->FELFAT1L             FELFAT1L-->True
50                                 FACITFT-->FELLIS1L             FACITFT-->FELLIS1L             FELLIS1L-->True
51                                 FACITFT-->FELTIR1L             FACITFT-->FELTIR1L             FELTIR1L-->True
52                                 FACITFT-->FELWEK1L             FACITFT-->FELWEK1L             FELWEK1L-->True
53                                 FACITFT-->FRSTIR1L             FACITFT-->FRSTIR1L             FRSTIR1L-->True
54                                 FACITFT-->HAVENG1L             FACITFT-->HAVENG1L             HAVENG1L-->True
55                                 FACITFT-->HLPACT1L             FACITFT-->HLPACT1L             HLPACT1L-->True
56                                 FACITFT-->LMTSOC1L             FACITFT-->LMTSOC1L             LMTSOC1L-->True
57                                 FACITFT-->SLPDAY1L             FACITFT-->SLPDAY1L             SLPDAY1L-->True
58                                 FACITFT-->TIREAT1L             FACITFT-->TIREAT1L             TIREAT1L-->True
59                                 FACITFT-->TRBFIN1L             FACITFT-->TRBFIN1L             TRBFIN1L-->True
60                                 FACITFT-->TRBSTR1L             FACITFT-->TRBSTR1L             TRBSTR1L-->True
61                                    FACITFT-->VST1L                FACITFT-->VST1L                VST1L-->True
62                                    HADS-->ANXSCR1N                HADS-->ANXSCR1N             ANXSCR1N-->True
63                                    HADS-->DEPSCR1N                HADS-->DEPSCR1N             DEPSCR1N-->True
64                                    HADS-->ENJENT1L                HADS-->ENJENT1L             ENJENT1L-->True
65                                    HADS-->ENJTHG1L                HADS-->ENJTHG1L             ENJTHG1L-->True
66                                    HADS-->ESERLX1L                HADS-->ESERLX1L             ESERLX1L-->True
67                                    HADS-->FELCHR1L                HADS-->FELCHR1L             FELCHR1L-->True
68                                    HADS-->FELPNC1L                HADS-->FELPNC1L             FELPNC1L-->True
69                                    HADS-->FELRST1L                HADS-->FELRST1L             FELRST1L-->True
70                                    HADS-->FELSLW1L                HADS-->FELSLW1L             FELSLW1L-->True
71                                    HADS-->FLGAWF1L                HADS-->FLGAWF1L             FLGAWF1L-->True
72                                    HADS-->FRGFEL1L                HADS-->FRGFEL1L             FRGFEL1L-->True
73                                    HADS-->INTAPR1L                HADS-->INTAPR1L             INTAPR1L-->True
74                                    HADS-->LGHFNY1L                HADS-->LGHFNY1L             LGHFNY1L-->True
75                                    HADS-->LOKFRW1L                HADS-->LOKFRW1L             LOKFRW1L-->True
76                                    HADS-->TNSWND1L                HADS-->TNSWND1L             TNSWND1L-->True
77                                       HADS-->VST1L                   HADS-->VST1L                VST1L-->True
78                                    HADS-->WRYTGT1L                HADS-->WRYTGT1L             WRYTGT1L-->True
79                        HHTrainingModule-->TRNCNF1L    HHTrainingModule-->TRNCNF1L            TRNCNF1L-->False
80                      Nighttimeitchscale-->FRQNIT1L  Nighttimeitchscale-->FRQNIT1L             FRQNIT1L-->True
81                       Nighttimeitchscale-->SEVNITL   Nighttimeitchscale-->SEVNITL              SEVNITL-->True
82                                   ~~~ MISMATCH ~~~                    PGA-->VST1L                VST1L-->True
83                                    POEM-->BLDSKP1B               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
84                                    POEM-->CRKSKP1B               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
85                                    POEM-->DRYSKP1B               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
86                                    POEM-->ECZBLD1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
87                                   ~~~ MISMATCH ~~~     POEM-->ECZBLD1L;  BLDSKP1B  ECZBLD1L;  BLDSKP1B-->True
88                                    POEM-->ECZCRK1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
89                                   ~~~ MISMATCH ~~~       POEM-->ECZCRK1L;CRKSKP1B    ECZCRK1L;CRKSKP1B-->True
90                                    POEM-->ECZDRY1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
91                                   ~~~ MISMATCH ~~~       POEM-->ECZDRY1L;DRYSKP1B    ECZDRY1L;DRYSKP1B-->True
92                                    POEM-->ECZFLK1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
93                                   ~~~ MISMATCH ~~~       POEM-->ECZFLK1L;FLKSKP1B    ECZFLK1L;FLKSKP1B-->True
94                                    POEM-->ECZITC1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
95                                   ~~~ MISMATCH ~~~      POEM-->ECZITC1L; ITCSKP1B   ECZITC1L; ITCSKP1B-->True
96                                    POEM-->ECZSLP1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
97                                   ~~~ MISMATCH ~~~     POEM-->ECZSLP1L;  SLPSKP1B  ECZSLP1L;  SLPSKP1B-->True
98                                    POEM-->ECZWEP1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
99                                   ~~~ MISMATCH ~~~     POEM-->ECZWEP1L;  WEPSKP1B  ECZWEP1L;  WEPSKP1B-->True
100                                   POEM-->FLKSKP1B               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
101                                   POEM-->ITCSKP1B               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
102                                   POEM-->SLPSKP1B               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
103                                      POEM-->VST1L                   POEM-->VST1L                VST1L-->True
104                                   POEM-->WEPSKP1B               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
105                                  ~~~ MISMATCH ~~~           PRUNRSELG-->ELGCON1L             ELGCON1L-->True
106                                  ~~~ MISMATCH ~~~           PRUNRSELG-->NOECON1L             NOECON1L-->True
107                                  ~~~ MISMATCH ~~~           PRUNRSELG-->SEVAVG1N             SEVAVG1N-->True
108                                  ~~~ MISMATCH ~~~              PRUNRSELG-->VST1L                VST1L-->True
109                                  PSAAD-->CMPSEV1N               PSAAD-->CMPSEV1N             CMPSEV1N-->True
110                                  PSAAD-->DIFSLP1N               PSAAD-->DIFSLP1N             DIFSLP1N-->True
111                                  PSAAD-->SKIBLE1N               PSAAD-->SKIBLE1N             SKIBLE1N-->True
112                                  PSAAD-->SKIBUM1N               PSAAD-->SKIBUM1N             SKIBUM1N-->True
113                                  PSAAD-->SKICRA1N               PSAAD-->SKICRA1N             SKICRA1N-->True
114                                  PSAAD-->SKIDIS1N               PSAAD-->SKIDIS1N             SKIDIS1N-->True
115                                  PSAAD-->SKIDRY1N               PSAAD-->SKIDRY1N             SKIDRY1N-->True
116                                  PSAAD-->SKIFLA1N               PSAAD-->SKIFLA1N             SKIFLA1N-->True
117                                  PSAAD-->SKIITC1N               PSAAD-->SKIITC1N             SKIITC1N-->True
118                                  PSAAD-->SKIPAI1N               PSAAD-->SKIPAI1N             SKIPAI1N-->True
119                                  PSAAD-->SKIRED1N               PSAAD-->SKIRED1N             SKIRED1N-->True
120                                  PSAAD-->SKISEE1N               PSAAD-->SKISEE1N             SKISEE1N-->True
121                                  PSAAD-->SKISWO1N               PSAAD-->SKISWO1N             SKISWO1N-->True
122                                  PSAAD-->SKNSEV1N               PSAAD-->SKNSEV1N             SKNSEV1N-->True
123                                  PSAAD-->USLACT1N               PSAAD-->USLACT1N             USLACT1N-->True
124                                     PSAAD-->VST1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
125                        PedFACITFatigue-->FEEMAD1L     PedFACITFatigue-->FEEMAD1L             FEEMAD1L-->True
126                        PedFACITFatigue-->FEESAD1L     PedFACITFatigue-->FEESAD1L             FEESAD1L-->True
127                        PedFACITFatigue-->FEEWEK1L     PedFACITFatigue-->FEEWEK1L             FEEWEK1L-->True
128                        PedFACITFatigue-->FELTIR1L     PedFACITFatigue-->FELTIR1L             FELTIR1L-->True
129                        PedFACITFatigue-->FINTHI1L     PedFACITFatigue-->FINTHI1L             FINTHI1L-->True
130                        PedFACITFatigue-->GETUPT1L     PedFACITFatigue-->GETUPT1L             GETUPT1L-->True
131                        PedFACITFatigue-->HARPLA1L     PedFACITFatigue-->HARPLA1L             HARPLA1L-->True
132                        PedFACITFatigue-->HAVEGY1L     PedFACITFatigue-->HAVEGY1L             HAVEGY1L-->True
133                        PedFACITFatigue-->NEEHEL1L     PedFACITFatigue-->NEEHEL1L             NEEHEL1L-->True
134                        PedFACITFatigue-->NEESLP1L     PedFACITFatigue-->NEESLP1L             NEESLP1L-->True
135                        PedFACITFatigue-->STRTHI1L     PedFACITFatigue-->STRTHI1L             STRTHI1L-->True
136                        PedFACITFatigue-->TIREAT1L     PedFACITFatigue-->TIREAT1L             TIREAT1L-->True
137                        PedFACITFatigue-->USUTHI1L     PedFACITFatigue-->USUTHI1L             USUTHI1L-->True
138                           PedFACITFatigue-->VST1L        PedFACITFatigue-->VST1L                VST1L-->True
139                          PruritusNRSHH-->FRQPRU1L       PruritusNRSHH-->FRQPRU1L             FRQPRU1L-->True
140                          PruritusNRSHH-->SEVPRU1L       PruritusNRSHH-->SEVPRU1L             SEVPRU1L-->True
141                                   PtGA-->ATPDTS1L                PtGA-->ATPDTS1L             ATPDTS1L-->True
142                                      PtGA-->VST1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
143                                 SFA36T-->BENHAP1L              SFA36T-->BENHAP1L             BENHAP1L-->True
144                                 SFA36T-->CLMPEA1L              SFA36T-->CLMPEA1L             CLMPEA1L-->True
145                                 SFA36T-->CMPWEK1L              SFA36T-->CMPWEK1L             CMPWEK1L-->True
146                                 SFA36T-->DIFPER1L              SFA36T-->DIFPER1L             DIFPER1L-->True
147                                 SFA36T-->DWNDEP1L              SFA36T-->DWNDEP1L             DWNDEP1L-->True
148                                 SFA36T-->DWNDMP1L              SFA36T-->DWNDMP1L             DWNDMP1L-->True
149                                 SFA36T-->EMTCAR1L              SFA36T-->EMTCAR1L             EMTCAR1L-->True
150                                 SFA36T-->EMTLES1L              SFA36T-->EMTLES1L             EMTLES1L-->True
151                                 SFA36T-->EMTWRK1L              SFA36T-->EMTWRK1L             EMTWRK1L-->True
152                                 SFA36T-->FELTIR1L              SFA36T-->FELTIR1L             FELTIR1L-->True
153                                 SFA36T-->FULLIF1L              SFA36T-->FULLIF1L             FULLIF1L-->True
154                                 SFA36T-->GENHTH1L              SFA36T-->GENHTH1L             GENHTH1L-->True
155                                 SFA36T-->HLTANY1L              SFA36T-->HLTANY1L             HLTANY1L-->True
156                                 SFA36T-->HLTEXC1L              SFA36T-->HLTEXC1L             HLTEXC1L-->True
157                                 SFA36T-->HLTWRK1L              SFA36T-->HLTWRK1L             HLTWRK1L-->True
158                                 SFA36T-->HLTWRS1L              SFA36T-->HLTWRS1L             HLTWRS1L-->True
159                                 SFA36T-->HTLLES1L              SFA36T-->HTLLES1L             HTLLES1L-->True
160                                 SFA36T-->INTSOC1L              SFA36T-->INTSOC1L             INTSOC1L-->True
161                                 SFA36T-->LMTBEN1L              SFA36T-->LMTBEN1L             LMTBEN1L-->True
162                                 SFA36T-->LMTBTH1L              SFA36T-->LMTBTH1L             LMTBTH1L-->True
163                                 SFA36T-->LMTLFT1L              SFA36T-->LMTLFT1L             LMTLFT1L-->True
164                                 SFA36T-->LMTMOD1L              SFA36T-->LMTMOD1L             LMTMOD1L-->True
165                                 SFA36T-->LMTVIG1L              SFA36T-->LMTVIG1L             LMTVIG1L-->True
166                                 SFA36T-->LMTWRK1L              SFA36T-->LMTWRK1L             LMTWRK1L-->True
167                                 SFA36T-->LOTERG1L              SFA36T-->LOTERG1L             LOTERG1L-->True
168                                 SFA36T-->ONESTR1L              SFA36T-->ONESTR1L             ONESTR1L-->True
169                                 SFA36T-->PANBOD1L              SFA36T-->PANBOD1L             PANBOD1L-->True
170                                 SFA36T-->PANWRK1L              SFA36T-->PANWRK1L             PANWRK1L-->True
171                                 SFA36T-->SCKEAS1L              SFA36T-->SCKEAS1L             SCKEAS1L-->True
172                                 SFA36T-->SEVSTR1L              SFA36T-->SEVSTR1L             SEVSTR1L-->True
173                                 SFA36T-->SOCACT1L              SFA36T-->SOCACT1L             SOCACT1L-->True
174                                 SFA36T-->VERNER1L              SFA36T-->VERNER1L             VERNER1L-->True
175                                    SFA36T-->VST1L                 SFA36T-->VST1L                VST1L-->True
176                                 SFA36T-->WLKMIL1L              SFA36T-->WLKMIL1L             WLKMIL1L-->True
177                                 SFA36T-->WLKONE1L              SFA36T-->WLKONE1L             WLKONE1L-->True
178                                 SFA36T-->WLKYRD1L              SFA36T-->WLKYRD1L             WLKYRD1L-->True
179                                 SFA36T-->WRNOUT1L              SFA36T-->WRNOUT1L             WRNOUT1L-->True
180                                  ~~~ MISMATCH ~~~                         TTM-->                    -->False
181                                    TTM-->TRNCNF1L                 TTM-->TRNCNF1L            TRNCNF1L-->False
182                                    WPAIAD-->VST1L                 WPAIAD-->VST1L                VST1L-->True
183                                 WPAIAD-->WPA0201L              WPAIAD-->WPA0201L             WPA0201L-->True
184                                 WPAIAD-->WPA0401N               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
185                                 WPAIAD-->WPA0501N               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
186                                 WPAIAD-->WPA0551N              WPAIAD-->WPA0551N             WPA0551N-->True
187                                 WPAIAD-->WPA0601N               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
188                                 WPAIAD-->WPA0651N              WPAIAD-->WPA0651N             WPA0651N-->True
189                                 WPAIAD-->WPA0701N              WPAIAD-->WPA0701N             WPA0701N-->True
190                                 WPAIAD-->WPA0751N              WPAIAD-->WPA0751N             WPA0751N-->True
191                                 WPAIAD-->WPA0801N              WPAIAD-->WPA0801N             WPA0801N-->True

