,kdig-->kdit,ig-->it,it-->IncludeInReports
40,PHQ9-->PHQ9061L,PHQ9-->PHQ9061L,PHQ9061L-->True
41,PHQ9-->PHQ9061L,PHQ9-->PHQ9061L,PHQ9061L-->True
42,PHQ9-->PHQ9071L,PHQ9-->PHQ9071L,PHQ9071L-->True
43,PHQ9-->PHQ9071L,PHQ9-->PHQ9071L,PHQ9071L-->True
44,PHQ9-->PHQ9081L,PHQ9-->PHQ9081L,PHQ9081L-->True
45,PHQ9-->PHQ9081L,PHQ9-->PHQ9081L,PHQ9081L-->True
46,PHQ9-->PHQ9091L,PHQ9-->PHQ9091L,PHQ9091L-->True
47,PHQ9-->PHQ9091L,PHQ9-->PHQ9091L,PHQ9091L-->True
48,PHQ9-->PHQDIF1L,PHQ9-->PHQDIF1L,PHQDIF1L-->True
49,PHQ9-->PHQDIF1L,PHQ9-->PHQDIF1L,PHQDIF1L-->True
50,PHQ9-->PHQSCR1N,PHQ9-->PHQSCR1N,PHQSCR1N-->True
51,PHQ9-->PHQSCR1N,PHQ9-->PHQSCR1N,PHQSCR1N-->True
52,PHQ9-->VST1L,PHQ9-->VST1L,VST1L-->True
53,PHQ9-->VST1L,PHQ9-->VST1L,VST1L-->True
54,SHPLoop-->DELETE1B,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
55,SHPLoop-->SHPADM1L,SHPLoop-->SHPADM1L,SHPADM1L-->False
56,SHPLoop-->SHPSTY1N,SHPLoop-->SHPSTY1N,SHPSTY1N-->True
57,SHPLoop-->SHPVST1N,SHPLoop-->SHPVST1N,SHPVST1N-->False
58,TabletTrainingModule-->TRNCNF1B,TabletTrainingModule-->TRNCNF1B,TRNCNF1B-->False
59,WPAI-->ACTWEI1N,WPAI-->ACTWEI1N,ACTWEI1N-->True
60,WPAI-->CUREMP1L,WPAI-->CUREMP1L,CUREMP1L-->True
61,WPAI-->HRSMIS1N,WPAI-->HRSMIS1N,HRSMIS1N-->True
62,WPAI-->HRSWEI1N,WPAI-->HRSWEI1N,HRSWEI1N-->True
63,WPAI-->HRSWOR1N,WPAI-->HRSWOR1N,HRSWOR1N-->True
64,WPAI-->PROWEI1N,WPAI-->PROWEI1N,PROWEI1N-->True
65,WPAI-->VST1L,WPAI-->VST1L,VST1L-->True
